カテゴリ名,サブカテゴリ名,アイテム名,所要日数作業単位_数量,所要日数作業単位_単位,基本所要日数名,基本所要日数,歩掛作業単位_数量,歩掛作業単位_単位,基本歩掛名,歩掛カテゴリ,項目名,歩掛数量,歩掛単位,説明
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,労務,土木一般世話役,表3.2,人,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,労務,特殊作業員,表3.2,人,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,労務,運転手(特殊),表3.2,人,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,機械,自走式土質改良機 運転,表3.2,日,機械損料
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,,諸雑費,1,式,
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,労務,土木一般世話役,1×100/D,人,"表4.2,表4.3"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,労務,特殊作業員,1×100/D,人,"表4.2,表4.3"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,,固化材,,t,"表4.4,式4.1"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,機械,自走式土質改良機 運転,100/D,日,"表4.1,表4.3 機械損料"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,機械,バックホウ (クローラ型) 運転,100/D,日,"表4.1,表4.3 機械賃料"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,,諸雑費,1,式,表4.5
土工,土砂運搬工(不整地運搬車による運搬),不整地運搬,,,,,100,m³,,機械,不整地運搬車運転,100/D,日,表4.1~表4.4 機械賃料
土工,土砂運搬工(不整地運搬車による運搬),不整地運搬,,,,,100,m³,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,労務,土木一般世話役,1×100/D,人,"表4.1,表5.1"
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,労務,ブロック工,1×100/D,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,労務,普通作業員,3×100/D,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,,ブロック,,個,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,資材,敷砂利,,m³,必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,機械,ラフテレーンクレーン,1×100/D,日,表5.1 賃料 機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,,諸雑費,1,式,表6.1
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,労務,普通作業員,表7.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,資材,砂利,,m³,表7.1(注)2
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,機械,バックホウ (クローラ型)運転,表7.1,h,機械損料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,労務,土木一般世話役,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,労務,ブロック工,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,労務,普通作業員,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,,ブロック,,個,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,機械,ラフテレーンクレーン,表8.1(注)6,日,機械賃料 必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,,諸雑費,1,式,表8.1
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,労務,土木一般世話役,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,労務,法面工,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,労務,普通作業員,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,,客土,,m³,表8.1(注)8
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,機械,ラフテレーンクレーン,表8.1,日,機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,,1000,袋,,労務,土木一般世話役,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,,1000,袋,,労務,法面工,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,,1000,袋,,労務,普通作業員,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,,1000,袋,,,植生土のう,"1,000",袋,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,,1000,袋,,機械,ラフテレーンクレーン,表8.1,日,機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,,1000,袋,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,,10,m³,,労務,土木一般世話役,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,,10,m³,,労務,普通作業員,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,,10,m³,,,割石又は栗石,,m³,表8.1(注)8
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,,10,m³,,機械,ラフテレーンクレーン,表8.1,日,機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,,10,m³,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,,10,m³,,労務,土木一般世話役,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,,10,m³,,労務,普通作業員,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,,10,m³,,資材,砕石,,m³,表8.1(注)8
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,,10,m³,,機械,バックホウ(クローラ型)運転,表8.1,h,機械損料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,,10,m³,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,,100,袋,,労務,普通作業員,表8.1(注)2,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,,100,袋,,,植生土のう袋,100,袋,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,,100,袋,,,植生土,2,m³,表8.1(注)2 必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,,100,袋,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,,100,m³,,労務,土木一般世話役,表5.1,人,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,,100,m³,,労務,特殊作業員,表5.1,人,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,,100,m³,,労務,普通作業員,表5.1,人,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,,100,m³,,資材,コンクリート,,m³,式5.1
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,,100,m³,,機械,コンクリートポンプ車運転,表5.1,h,機械損料
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,,100,m³,,,圧送管組立・撤去費,1,式,必要に応じて計上 表5.1
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,,100,m³,,,諸雑費,1,式,表5.1
共通工,法面工 コンクリート法枠工(現場打法枠工),アンカー設置,,,,,10,本,,労務,普通作業員,表6.1,人,","
共通工,法面工 コンクリート法枠工(現場打法枠工),アンカー設置,,,,,10,本,,,アンカー,10,本,","
共通工,法面工 コンクリート法枠工(現場打法枠工),アンカー設置,,,,,10,本,,,諸雑費,1,式,","
共通工,法面工 コンクリート法枠工(現場打法枠工),吸出し防止材敷設,,,,,100,m²,,労務,普通作業員,表7.1,人,
共通工,法面工 コンクリート法枠工(現場打法枠工),吸出し防止材敷設,,,,,100,m²,,,吸出し防止材,,m²,式7.1
共通工,法面工 コンクリート法枠工(現場打法枠工),吸出し防止材敷設,,,,,100,m²,,,諸雑費,1,式,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,,1,構造物,,労務,土木一般世話役,D1,人,表3.1
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,,1,構造物,,労務,特殊作業員,D1,人,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,,1,構造物,,労務,普通作業員,D1,人,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,,1,構造物,,,充てん材材料費,,kg,式3.1
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,,1,構造物,,,諸雑費,1,式,表3.3
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,,1,構造物,,労務,土木一般世話役,$L/10\times D2$,人,表3.2
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,,1,構造物,,労務,特殊作業員,$L/10\times D2$,人,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,,1,構造物,,労務,普通作業員,$L/10\times D2$,人,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,,1,構造物,,,充てん材材料費,,kg,式3.1
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,,1,構造物,,,諸雑費,1,式,表3.3
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,,1,構造物,,労務,土木一般世話役,D1,人,表3.1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,,1,構造物,,労務,特殊作業員,D1,人,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,,1,構造物,,労務,普通作業員,D1,人,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,,1,構造物,,,注入材,,kg,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,,1,構造物,,,シール材,,kg,式3.1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,,1,構造物,,,低圧注入器具,,個,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,,1,構造物,,,諸雑費,1,式,表3.3
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,,1,構造物,,労務,土木一般世話役,$L/10\times D2$,人,表3.2
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,,1,構造物,,労務,特殊作業員,$L/10\times D2$,人,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,,1,構造物,,労務,普通作業員,$L/10\times D2$,人,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,,1,構造物,,,注入材,,kg,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,,1,構造物,,,シール材,,kg,式3.1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,,1,構造物,,,低圧注入器具,,個,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,,1,構造物,,,諸雑費,1,式,表3.3
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,労務,土木一般世話役,D1,人,表4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,労務,特殊作業員,D1,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,労務,普通作業員,D1,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,,断面修復材,,m³,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,,諸雑費,1,式,表4.10
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,労務,土木一般世話役,$V/0.1\times D2$,人,表4.2
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,労務,特殊作業員,$V/0.1\times D2$,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,労務,普通作業員,$V/0.1\times D2$,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,,断面修復材,,m³,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,,諸雑費,1,式,表4.10
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,労務,土木一般世話役,D3,人,表4.3
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,労務,特殊作業員,D3,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,労務,普通作業員,D3,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,,断面修復材,,m³,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,,1,構造物,,,諸雑費,1,式,表4.10
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,労務,土木一般世話役,$V/0.1\times D4$,人,表4.4
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,労務,特殊作業員,$V/0.1\times D4$,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,労務,普通作業員,$V/0.1\times D4$,人,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,,断面修復材,,m³,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,,1,構造物,,,諸雑費,1,式,表4.10
共通工,構造物補修工 断面修復工 (左官工法),コンクリート殻積込・運搬(断面修復工),,,,,10,m³,,労務,普通作業員,1×10/D,人,"表4.5,表4.6"
共通工,構造物補修工 断面修復工 (左官工法),コンクリート殻積込・運搬(断面修復工),,,,,10,m³,,機械,ダンプトラック運転,,日,"表3.1,表4.7~表4.8"
共通工,構造物補修工 断面修復工 (左官工法),コンクリート殻積込・運搬(断面修復工),,,,,10,m³,,,諸雑費,1,式,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,労務,土木一般世話役,$1/N\times1$,人,表4.1 表5.1~表5.7
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,労務,特殊作業員,$1/N\times1$,人,表4.1 表5.1~5.7 表4.1
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,労務,普通作業員,$1/N\times1$,人,表5.1~表5.7
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,,改良材,V,t,"式5.1,表5.8"
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,機械,深層混合処理機運転,1/N,日,表3.1~表3.3 表5.1~表5.7 機械損料
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,機械,スラリプラント運転,1/N,日,表3.1~表3.3 表5.1~表5.7 機械損料
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,,諸雑費,1,式,表5.9
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,,1,本,,,特許料金,1,式,必要に応じて計上
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,,1,回,,労務,土木一般世話役,表5.10,人,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,,1,回,,労務,特殊作業員,表5.10,人,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,,1,回,,労務,普通作業員,表5.10,人,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,,1,回,,機械,ラフテレーンクレーン運転,表5.10,日,機械賃料
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,,1,回,,,諸雑費,1,式,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,労務,土木一般世話役,$T_T/(6.7\times60)\times a/c$,人,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,労務,特殊作業員,$T_T/(6.7\times60)\times a/c$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,労務,普通作業員,$T_T/(6.7\times60)\times a/c$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,,注入材料,$Q_T$,m³,式5.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,,損耗材料費,1,式,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,機械,ボーリングマシン運転,$T_T/(6.7\times60)\times b/c$,日,表3.1 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,機械,高圧噴射撹拌式 地盤改良機運転,$T_T/(6.7\times60)\times b/c$,日,表3.1 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,機械,高圧噴射撹拌式 地盤改良機運転,$T_T/(6.7\times60)\times b/c$,日,表3.1 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,,諸雑費,1,式,表5.7
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,,1,本,,,特許料金,1,式,必要に応じて計上
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,労務,土木一般世話役,$T_N/(6.7\times60)\times1$,人,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,労務,特殊作業員,$T_N/(6.7\times60)\times3$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,労務,普通作業員,$T_N/(6.7\times60)\times3$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,,注入材料,$Q_N$,m³,式5.2
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,,損耗材料費,1,式,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,機械,高圧噴射撹拌式 地盤改良機運転,$T_N/(6.7\times60)$,日,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,機械,高圧噴射撹拌式 地盤改良機運転,$T_N/(6.7\times60)$,日,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,機械,空気圧縮機運転,$T_N/(6.7\times60)$,日,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,機械,トラッククレーン運転,$T_N/(6.7\times60)$,日,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,,諸雑費,1,式,表5.19
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,,1,本,,,特許料金,1,式,必要に応じて計上
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,労務,土木一般世話役,$T_N/(6.7\times60)\times1$,人,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,労務,特殊作業員,$T_N/(6.7\times60)\times3$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,労務,普通作業員,$T_N/(6.7\times60)\times3$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,,注入材料,$Q_N$,m³,式5.3
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,,損耗材料費,1,式,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,機械,高圧噴射撹拌式 地盤改良機運転,$T_N/(6.7\times60)$,日,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,機械,高圧噴射撹拌式 地盤改良機運転,$T_N/(6.7\times60)$,日,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,機械,空気圧縮機運転,$T_N/(6.7\times60)$,日,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,機械,トラッククレーン運転,$T_N/(6.7\times60)$,日,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,,諸雑費,1,式,表5.19
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,,1,本,,,特許料金,1,式,必要に応じて計上
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,,1,本,,労務,土木一般世話役,$T_S/(6.7\times60)\times1$,人,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,,1,本,,労務,特殊作業員,$T_S/(6.7\times60)\times1$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,,1,本,,労務,普通作業員,$T_S/(6.7\times60)\times1$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,,1,本,,,損耗材料費,1,式,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,,1,本,,機械,高圧噴射撹拌式 地盤改良機運転,$T_S/(6.7\times60)$,日,表3.3 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,,1,本,,機械,グラウトポンプ運転,$T_S/(6.7\times60)$,日,表3.3 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,,1,本,,,諸雑費,1,式,表5.27
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法注入,,,,,1,本,,労務,土木一般世話役,$T_A/(6.7\times60)\times1$,人,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法注入,,,,,1,本,,労務,特殊作業員,$T_A/(6.7\times60)\times4$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法注入,,,,,1,本,,労務,普通作業員,$T_A/(6.7\times60)\times3$,人,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法注入,,,,,1,本,,,注入材料,$Q_A$,m³,式5.4
